Event Code,Short Description,Full Description
10078,A module has been edited,Module arg in task arg has been edited before line: arg by arg .
10079,A module has been edited,Module arg in task arg has been edited after line: arg by arg .
10082,RAPID Task supervision,Task arg is not running. The system will be set in SysFail state. It's now impossible to change to motors on arg . Recommended actions See previous messages for the cause. Restart the system to reset the error state.
10083,RAPID Task supervision,Task arg is not running. The system will be set in motors off state. arg Recommended actions See previous messages for the cause.
10084,RAPID Task supervision,Task arg is not running. All NORMAL tasks will also be stopped. Recommended actions See previous messages for the cause.
10090,Reset RAPID done,"Reset RAPID is done. Consequences After restart the system's state will be resumed except for manually loaded programs and modules. Static and semistatic tasks are restarted from the beginning, not from the state they had when the system was stopped. Modules will be installed and loaded in accordance with the set configuration. System parameters will not be affected. Probable causes 1 Reset RAPID was ordered by the user. 2 The system forced Reset RAPID due to inconsistent data, malfunction or unrecoverable task state."
10091,Restart not possible,A restart after collision detection is not possible before acknowledge the error dialogue. Recommended actions Continues on next page 16 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
10092,(Re)start not possible,(Re)start is not possible due to lost contact with IO module arg configured with trustlevel. Recommended actions
10095,At least one task is unchecked in the task,One or more of the NORMAL tasks are unchecked in the task selection panel when performing a (re)start. Recommended actions
10096,,The workobject arg contains a coordinated mechanical unit which is not activated. Recommended actions Activate the mechanical unit and perform the operation again.
10097,Restart not possible,The task arg is set in blocked state and the program is for that reason not possible to restart from the current program position. Recommended actions The Program Pointer must be moved before restart.
10098,Restart not possible,The task arg has been in system failure state and the program is for that reason not possible to restart from the current program position. Recommended actions The Program Pointer must be moved before restart.
10099,Program start rejected,"The system has performed a Category-1 stop, and the program may not be restarted. Consequences The system goes to the Motors OFF state and cannot be started. Probable causes The Category-1 stop may be caused by opening the safety circuit. Recommended actions 1 Check the safety circuits for an open switch. 2 Go to Motors ON and restart the program."
10100,SFTP server up,The control system communicates correctly with the SFTP server arg .
10101,SFTP server down,"The control system is not able to communicate correctly with the SFTP server arg . Consequences If the server arg is defined as TRUSTED, robot program execution will be stopped. If the server is defined as NON-TRUSTED, execution will proceed. These definitions are specified in the Application manual - Controller software. Probable causes If this message is displayed at first start-up, the server configuration may be incorrect. If displayed during operation, the previously working communication has been lost due to a broken connection. Also see the I/O event log! Recommended actions 1 Check the SFTP server configuration. 2 Check all communication hardware, cables and such. 3 Check the SFTP client configuration on the controller."
10106,Time for service,It's time for service for robot arg because it is arg days since the last service. Recommended actions
10107,Close to service,It remains arg days for robot arg until it's time for service. Recommended actions Continues on next page Technical reference manual - Event logs for RobotWare 7 17 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
10108,Time for service,It's time for service for robot arg cause it's arg hours of production since last service. Recommended actions
10109,Close to service,It remains arg hours of production for robot arg to next service. Recommended actions
10110,Gearbox needs service,The gearbox at arg of robot arg needs service. Recommended actions
10111,Gearbox reached service interval,The gearbox at arg of robot arg has reached arg of its service interval. Recommended actions
10112,SIS calendar notification,The system date and time has changed. This could cause problems with the SIS calendar notification. Recommended actions The SIS parameters Calendar Limit and Calendar Warning might need to be changed
10115,A backup is made of the robot memory,Data is moved from robot memory to backup of robot memory by arg . Recommended actions
10116,Robot memory is restored from the,Data is moved from backup of robot memory to robot memory by arg . Recommended actions
10117,The robot memory is cleared,Data in robot memory is cleared by arg . Recommended actions
10118,The backup of the robot memory is,Data in the backup of robot memory is cleared by arg . Recommended actions
10120,Program stopped,The task arg has stopped. The reason is that an external or internal stop after current instruction has occurred. Recommended actions
10121,Program stopped,The task arg has stopped. The reason is that the task has reached an exit instruction. Recommended actions
10122,Program stopped,The task arg has stopped. The reason is that the task is ready. Recommended actions
10123,Program stopped,The task arg has stopped. The reason is that the task is ready with this step. Recommended actions
10124,Program stopped,The task arg has stopped. The reason is that the task has reached a break instruction. Recommended actions Continues on next page 18 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
10125,Program stopped,The task arg has stopped. The reason is that an external or internal stop has occurred. Recommended actions
10126,Program stopped,The task arg has stopped. The reason is that an error has occurred. Recommended actions
10127,Backward execution not possible,The task arg has stopped. The reason is that it is not possible to execute backward past beginning of instruction list. Recommended actions
10128,Backward execution not possible,The task arg has stopped. The reason is that it is not possible to execute backward past the instruction. Recommended actions
10129,Program stopped,The task arg has stopped. The reason is that the event routine for RESET or POWER_ON is ready. Recommended actions
10130,Program stopped,The task arg has stopped. The reason is that the task is ready with this move step. Recommended actions
10131,Program stopped,The task arg has stopped. The reason is that the routine called from system IO interrupt or a service routine is ready. Recommended actions
10132,Program stopped,The task arg has stopped. The reason could not be determined. Recommended actions
10133,Program stopped,The task arg has stopped. The reason is that the task is ready with the execution of the UNDO handlers.
10134,POWER_ON event routine stopped,The system was stopped while execution a POWER_ON event routine. Consequences WARNING: Moving program pointer will leave the system in an undefined state because many applications rely on the POWER_ON routine completion. Probable causes POWER_ON event routines can be stopped for many reasons. You may need to look for other event log messages but the normal ones are: 1 Stop button 2 Rapid Stop instruction 3 Execution error
10135,Program stopped,The task arg has stopped. The reason is that a stop after current cycle has occurred. Recommended actions
10136,Program stopped,The task arg has stopped. The reason is that the task has reached a stop instruction. Recommended actions
10137,Program stopped,The task arg has stopped. The reason is that the task has reached a stop\AllMoveTask instruction. Recommended actions Continues on next page Technical reference manual - Event logs for RobotWare 7 19 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
10138,Program stopped,The task arg has stopped. The reason is that an stop from system input has occurred. Recommended actions
10139,Execution is stopped,"The edit mastership supervision time-out occurred. Consequences The execution is stopped as a safety measure. Probable causes When executing RAPID and holding edit mastership a periodic watchdog command must be sent. Recommended actions Proposed alternatives: • If not using RobotControlMate, change configuration parameter 'Controller/OperatorSafety/Heartbeat' to False and restart system. • If using RobotControlMate, restart the RAPID execution."
10140,Speed adjusted,The speed has been adjusted to arg % by arg .
10141,Program pointer moved to cursor,The program pointer of task arg in module arg has been moved to position arg by arg .
10142,Call routine,The program pointer in task arg has been moved to routine arg by arg .
10143,Cancel call routine,The execution of the called routine has been canceled in task arg by arg .
10144,Simulate of Wait instruction,"A wait instruction (WaitTime, WaitUntil, WaitDO, etc.) has been simulated in task arg by arg . Recommended actions"
10145,Task selection panel is set,Task arg has been added in Task Selection Panel by arg . Recommended actions
10146,Task selection panel is cleared,Task arg has been removed in Task Selection Panel by arg . Recommended actions
10147,Setting of variable,Variable arg has changed to value arg by arg . Recommended actions
10148,Setting of IO,IO signal arg has changed value to arg by arg . Recommended actions
10149,Program Pointer moved to routine,The program pointer in task arg has been moved to routine arg by arg . Recommended actions
10150,Program started,Execution of task arg has been started from the first instruction of the task's entry routine. The originator could not be determined. Recommended actions Continues on next page 20 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
10151,Program started,Execution of task arg has been started from the first instruction of the task's entry routine. The originator is an external client. Recommended actions
10152,Program started,Execution of task arg has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.
10153,Run mode is changed,Run mode has been changed to single cycle by arg .
10154,Run mode is changed,Run mode has been changed to continuous mode by arg .
10155,Program restarted,Execution of task arg has been restarted from where it was previously stopped. The originator could not be determined. Recommended actions
10156,Program restarted,Execution of task arg has been restarted from where it was previously stopped. The originator is an external client. Recommended actions
10157,Program restarted,Execution of task arg has been restarted from where it was previously stopped. The restart order was initiated by an action causing the UNDO handler to execute.
10158,Program started,Stepwise forward execution of task arg has been started.
10159,Program started,Stepwise backward execution of task arg has been started.
10160,Pulsing of IO,IO signal arg has been pulsed by arg . Recommended actions
10170,Background task,refuse to start. Task is empty. Recommended actions
10171,Background task,refuse to start. Wrong state. Recommended actions
10172,Background task,Refuse to start. Can't set PP to the main routine. Probable causes The module that contains the main routine was not loaded since the module file is missing in the target directory. The module that contains the main routine was not loaded since the configuration file has no entry for automatic loading of the module. The main entry routine is missing. The main entry is corrupted. Recommended actions Load the module manually or perform a system reset after the cause of the problem is removed.
10173,Background task,refuse to start. Can't set the execution mode. Recommended actions
10174,Background task,refuse to start. The start order failed. Continues on next page Technical reference manual - Event logs for RobotWare 7 21 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
10175,Background task,refuse to start due to a syntax error. Recommended actions
10176,Background task,refuse to start. Can't load module. Probable causes The module file is missing in the target directory. Recommended actions 1 Copy the module file to the target directory. 2 Reset the system.
10177,Task refuses to start,Task arg : There is not sufficient program memory or the program memory is fragmented. Modules could be missing or data may not have been installed. Recommended actions 1 Unload/reload modules and restart the system. 2 Split large data structures. 3 Do Reset RAPID.
10185,Task could not be prepared for start,Task arg : There is not sufficient program memory or the program memory is fragmented. Modules could be missing or data may not have been installed. Recommended actions 1 Unload/reload modules and restart the system. 2 Split large data structures. 3 Do Reset RAPID.
10190,Protected area not done,A power fail did occur in the middle of a protected area for the task arg . The system is trying to selfheal. Recommended actions
10191,Protected area not done,A power fail did occur in the middle of a protected area for the task arg . A pending error is removed from the queue. Recommended actions
10192,Protected area not done,A power fail did occur in the middle of a protected area for the task arg . A pending exit is removed from the queue. Recommended actions
10193,Protected area not done,A power fail did occur in the middle of a protected area for the task arg . This may result in an extra program cycle. Recommended actions
10194,Protected area not done,A power fail did occur in the middle of a protected area for the task arg . The task will be restarted from the main routine. Recommended actions
10195,Protected area not done,A power fail did occur in the middle of a protected area for the task arg . All tasks are reset and all user programs are lost. Recommended actions Try to save the user program and restart the system.
10196,Protected area not done,A power fail did occur in the middle of a protected area for the task arg . Recommended actions
10200,Event logs are cleared,User arg has cleared all event logs. Recommended actions Continues on next page 22 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
10201,Event logs for one domain is cleared,User arg has cleared domain arg X XXX. Recommended actions
10202,Date and/or time is changed,Date and/or time is changed to arg by arg . Recommended actions
10205,Configuration parameter changed,A configuration parameter has been changed in domain: arg by arg . Recommended actions
10206,Configuration file has been loaded,A configuration file arg has been loaded by arg . Recommended actions
10210,Execution cancelled,The restart will clear the execution in task arg of a POWER ON system event routine. Recommended actions
10211,Execution cancelled,The restart will clear the execution in task arg of a STOP system event routine. Recommended actions
10212,Execution cancelled,The restart will clear the execution in task arg of an EMERGENCY STOP system event routine. Recommended actions
10213,Execution cancelled,The restart will clear the execution in task arg of a START system event routine. Recommended actions
10214,Execution cancelled,The restart will clear the execution in task arg of a RESTART system event routine. Recommended actions
10215,Execution cancelled,The restart will clear the execution in task arg of a RESET system event routine. Recommended actions
10217,Execution cancelled,The restart will clear the execution in task arg of a USER routine. Recommended actions
10218,Execution cancelled,The restart will clear the execution in task arg . Recommended actions
10219,Execution cancelled,The restart will clear the execution in task arg of a STEP system event routine. Recommended actions
10230,Backup step ready,The backup step Prepare is ready. Recommended actions Continues on next page Technical reference manual - Event logs for RobotWare 7 23 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
10231,Backup step ready,The backup step Configuration is ready. Recommended actions
10232,Backup step ready,The backup of Task is ready. Recommended actions
10233,Backup step ready,The backup of Controller Settings is ready. Recommended actions
10250,Restore step ready,The restore step Prepare is ready. Recommended actions
10251,Restore step ready,The restore step Configuration is ready. Recommended actions
10252,Restore step ready,The restore of Task is ready. Recommended actions
10253,Restore step ready,The restore of User Task is ready. Recommended actions
10254,Restore step ready,The restore of Controller Settings is ready. Recommended actions
10255,Restore step ready,The restore of Safety Settings is ready. Recommended actions
10260,System diagnostics info generated,System diagnostics information was successfully generated to file arg
10261,System diagnostics info unavailable,User requested to save diagnostics system information to file arg . System was unable to fulfill this request. Consequences Diagnostics system information is normally used when reporting a problem with the system to ABB support. Probable causes The system is in such state that it is not possible to generate the requested information. Please check that the device has enough space left. Recommended actions If you are experiencing a problem with the system contact ABB support.
10262,System log has been created,A system log has been created. A System Diagnostics has to be created using FlexPendant or RobotStudio. Probable causes The system log was triggered by the error event: arg Recommended actions Create a System Diagnostics and attach it to your error report if reported to ABB support.
10270,Cyclic Brake Check Done,The Cyclic Brake Check has been done for all brakes supervised by Safety Controllers. Continues on next page 24 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
10271,Cyclic Brake Check Started,The Cyclic Brake Check has been started.
10272,Brake Check Done,The Brake Check has been done for all brakes.
10273,Brake Check Started,The Brake Check has been started.
10280,The coordinate system has been changed,The coordinate system has been changed to World frame in mechanical unit arg by arg .
10281,The coordinate system has been changed,The coordinate system has been changed to Base frame in mechanical unit arg by arg .
10282,The coordinate system has been changed,The coordinate system has been changed to Tool frame in mechanical unit arg by arg .
10283,The coordinate system has been changed,The coordinate system has been changed to Object frame in mechanical unit arg by arg .
10284,Non motion execution mode is set,The non motion execution mode has been set by arg . Consequences The mechanical unit will not move when executing.
10285,Non motion execution mode has been,The non motion execution mode has been reset by arg . Consequences The mechanical unit will move while executing.
10286,Payload has been changed,The payload has been changed to arg in task arg by arg .
10287,Total load has been changed,The total load has been changed to arg in task arg by arg .
10288,The Work Object has been changed,The Work object has been changed to arg in task arg by arg .
10289,The tool has been changed,The tool has been changed to arg in task arg by arg .
10290,The robot has been calibrated,"The mechanical unit arg , axis arg has been calibrated by arg ."
10291,Goto position,The functionality Goto position has been used by arg .
10292,Revolution Counter updated,"The revolution counter for robot arg , axis arg has been updated by arg ."
10293,Path Supervision is set to On,The Path supervision for task arg is set to On by user: arg . Continues on next page Technical reference manual - Event logs for RobotWare 7 25 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
10294,Path Supervision is set to Off,The Path supervision for task arg is set to Off by user: arg .
10295,The Sensitivity for Path Supervision is,The Sensitivity for task arg for Path Supervision is set to arg % by user: arg .
10296,Jog Supervision is set to On,The Jog supervision for task arg is set to On by user: arg .
10297,Jog Supervision is set to Off,The Jog supervision for task arg is set to Off by user: arg .
10298,The Sensitivity for Jog Supervision is,The Sensitivity for task arg for Jog Supervision is set to arg % by user: arg .
10300,A Reset RAPID is ordered,Reset RAPID has been ordered from the system. Recommended actions
10304,An update has been ordered,An update of program configuration is done. Recommended actions
10350,Update of task failed,The system could not update task arg to the new configuration. Recommended actions
10351,A task is removed,The task arg was removed because of configuration changes. Recommended actions
10352,A task is added,The task arg was installed because of configuration changes. Recommended actions
10353,A task is reinstalled,The task arg was reinstalled because of configuration changes. Recommended actions
10354,Restore aborted due to lost system data.,"The system is using a backup of the system data, since the system data was not properly saved at last shutdown. Due to this, a previously ordered Restore from directory arg was attempted again, but was aborted. Consequences No RAPID programs or modules will be loaded. Probable causes The system data was not properly saved at last shutdown. Recommended actions After recovering from the system data loss by a (B)ackup-Restart or system re-installation, please verify that the backup directory arg is OK, and perform the Restore again."
10355,Restore error,"Error during the restore of Task. Trying to load to unknown task, arg . Consequences Loading has been aborted for arg . Probable causes The current system doesn't have the same options as the one used to create the backup."
10356,Restore warning,"The module arg is automatic loaded from old module format (.mod), If the module is updated after installation there is no possibility to restore the changes because format of module files is changed to .modx format. Continues on next page 26 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued"
10400,User,User arg logged on using arg .
10401,User,User arg using arg logged off.
10420,New unsafe robot path,The robot path has been cleared after a target has been modified in task arg . The robot will for that reason move towards the position pointed out by the move instruction at the program pointer. Move instructions between the modified target and the program pointer will be skipped. Consequences The programmed speed is used for this movement. The new untested path may contain obstacles that might cause a collision. Recommended actions Check your program pointer and move it if necessary. Reduce the speed.
10421,Planned path not aborted,"A target that may be part of the planned robot path has been modified. The new target position will be used the next time the instruction with the target is executed. Consequences The current planned path is using the old target position. Recommended actions If the current planned path is unsafe, move the program pointer to abort it."
10451,Update of RobotWare system failed,It was not possible to apply update of the current RobotWare system using Update package with ID: arg . Error code is: arg . Consequences The system remains unchanged. Recommended actions Contact the Update package provider or ABB support.
10452,Update of RobotWare system done,Update of the RobotWare system has been successful. Consequences The RobotWare system has been updated.
10455,Update of RobotWare system error,Update of the current RobotWare system did not complete properly. Consequences The current RobotWare system may be in an undefined state and it may need to be repaired. Recommended actions 1 Manually check if all products in the current system have expected versions and then load a valid backup if desired. 2 Restore system to the previous state using a snapshot. 3 Perform a complete reinstallation of the RobotWare system using RobotWare Installation Utilities.
10457,Event routines are deferred,The arg event routine arg in task arg could not start. Executions of event routines are deferred until next start order for this task. Recommended actions Check earlier events in the event log for the reason why this task could not start.
10458,System state could not be restored after,"Under normal circumstances, previous system state is automatically reloaded after the system has been updated. Loading the state has in this case failed and the system has therefore been reset and started with an empty configuration. Consequences All user programs and system parameters prior to the system update must be manually reloaded. Continues on next page Technical reference manual - Event logs for RobotWare 7 27 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued"
10459,System restored from a snapshot,"System state has been restored from a snapshot. Consequences System state has been reverted to a previous point in time. This includes installed software products, system internal state, user and AddIns data. Recommended actions Before starting a robot program, make sure that robot position is ok."
10460,System state could not be restored after,"Under normal circumstances, the attached backup is reloaded during system recovery. Loading the state has in this case failed and the system has therefore been reset and started with an empty configuration. Consequences All user programs and system parameters from the backup must be manually reloaded. Probable causes • The attached backup is invalid, e.g. missing some files. • The attached backup and the configured system may be incompatible. Recommended actions Proposed alternatives: • Continue using the system and re-implement your programs and configuration, e.g. by selectively reloading contents of a previous valid backup."
10461,System recovery done,"A system recovery package has been successfully installed on the current controller. Consequences The system is ready. Recommended actions Before starting a robot program, make sure that robot position is ok."
11020,Backup error,An error occurred while preparing to create a backup. Unknown error. Consequences The backup request is aborted. No backup was created. Recommended actions arg
11024,Backup error,"An error occurred while preparing to create a backup. A directory/file couldn't be created. Consequences The backup request is aborted. No backup was created. Probable causes You may not have write access to the backup drive. The drive might be full. If it is a network drive, you might have lost connection. Recommended actions 1 Verify that the backup drive isn't write protected 2 If it is a network drive, verify that controller hasn't lost contact"
11025,Backup error,An error occurred while preparing to create a backup. The backup directory couldn't be created. Continues on next page 28 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
11026,Backup error,"An error occurred while preparing to create a backup. Error while creating the backinfo.txt file. Consequences The backup request is aborted. No backup was created. Probable causes You may not have write access to the backup drive. The drive might be full. If it is a network drive, you might have lost connection. Recommended actions 1 Verify that the backup drive isn't write protected 2 If it is a network drive, verify that controller hasn't lost contact"
